  Аргумент      Описание
  %A            Название дня недели — например, Monday
  %B            Название месяца — например, January
  %m            Порядковый номер месяца (от 01 до 12)
  %d            День месяца (от 01 до 31)
  %Y            Год из четырех цифр (например, 2015)
  %y            Две последние цифры года (например, 15)
  %H            Часы в 24-часовом формате (от 00 до 23)
  %I            Часы в 12-часовом формате (от 01 до 12)
  %p            AM или PM
  %M            Минуты (от 00 до 59)
  %S            Секунды (от 00 до 59)
